name,set_name,border_color,mana_cost,type_line,oracle_text,power,toughness,loyalty,collector_number,watermark,usd,eur
"Acornelia, Fashionable Filcher",The List (Unfinity Foil Edition),silver,{3}{B},Legendary Creature — Squirrel,"Whenever you cast a spell with a squirrel in its art, you get {A} (an acorn counter).\nWhenever a Squirrel you control enters the battlefield or dies, you get {A}.\n{2}{B}, Pay X {A}: Target creature gets -X/-X until end of turn.\n{G}, Pay X {A}: Target creature gets +X/+X until end of tu",3,3,,18,,,
B-I-N-G-O,The List (Unfinity Foil Edition),silver,{1}{G},Creature — Dog,"Trample\nWhenever a player casts a spell, put a chip counter on its mana value.\nB-I-N-G-O gets +9/+9 for each set of three numbers in a row with chip counters on the",1,1,,34,,,
My First Tome,Unhinged,silver,{3},Artifact,"{1}, {T}: Say the flavor text on a card in your hand. Target opponent guesses that card's name. You may reveal that card. If you do and they guessed wrong, you draw a card.",,,,125,,0.35,0.15
Free-Range Chicken,Unglued,silver,{3}{G},Creature — Bird,"{1}{G}: Roll two six-sided dice. If both results are the same, Free-Range Chicken gets +X/+X until end of turn, where X is that result. If the total of those results is equal to any other total you have rolled this turn for this ability, sacrifice it. (For example, if you roll two 3s, it gets +3/+3. If you roll a 4 and a 2 for this ability later that turn, sacrifice it.)",3,3,,58,,0.23,0.2
Sly Spy,Unstable,silver,{2}{B},Creature — Human Spy,"Whenever Sly Spy deals combat damage to a player, you may destroy target creature facing left in its art. (Creatures without faces don't face anywhere.)",2,2,,67b,agentsofsneak,0.26,0.39
Yet Another Aether Vortex,Unsanctioned,silver,{3}{R}{R},Enchantment,"All creatures have haste.\nPlayers play with the top card of their libraries revealed.\nNoninstant, nonsorcery cards on top of a library are on the battlefield under their owner's control in addition to being in that librar",,,,60,,0.12,0.08
Despondent Killbot,Unstable,silver,{2},Artifact Creature — Killbot,"",2,1,,145c,leagueofdastardlydoom,0.22,0.03
By Gnome Means,The List (Unfinity Foil Edition),silver,{2}{W},Enchantment,"{1}{W}, Remove a counter from a permanent you control: Create a 1/1 colorless Gnome artifact creature token.\n{1}{W}, Sacrifice an artifact: Choose any kind of counter a printed card refers to, then put one of that counter on target permanent",,,,1,orderofthewidget,,
By Gnome Means,Unstable,silver,{2}{W},Enchantment,"{1}{W}, Remove a counter from a permanent you control: Create a 1/1 colorless Gnome artifact creature token.\n{1}{W}, Sacrifice an artifact: Choose any kind of counter a printed card refers to, then put one of that counter on target permanent",,,,4,orderofthewidget,0.18,0.1
Mandatory Friendship Shackles,Unstable,borderless,"",Artifact — Contraption,"Whenever you crank Mandatory Friendship Shackles, target creature gets -1/-1 until end of turn.",,,,194,leagueofdastardlydoom,0.09,0.19
Old Fogey,Unhinged,silver,{G}{G},Summon — Dinosaur,"Phasing, cumulative upkeep {1}, echo {G}{G}, fading 3, bands with other Dinosaurs, protection from Homarids, snow-covered plainswalk, flanking, rampage 2",7,7,,106,,0.72,0.4
Hammer Jammer,Unstable,silver,{3}{R},Creature — Goblin Warrior,"As Hammer Jammer enters the battlefield, roll a six-sided die. Hammer Jammer enters the battlefield with a number of +1/+1 counters on it equal to the result.\nWhenever you roll a die, remove all +1/+1 counters from Hammer Jammer, then put a number of +1/+1 counters on it equal to the result",0,0,,86,goblinexplosioneers,0.13,0.1
Yet Another Aether Vortex,Unhinged,silver,{3}{R}{R},Enchantment,"All creatures have haste.\nPlayers play with the top card of their libraries revealed.\nNoninstant, nonsorcery cards on top of a library are on the battlefield under their owner's control in addition to being in that librar",,,,91,,0.91,0.5
Enter the Dungeon,The List (Unfinity Foil Edition),silver,{B}{B},Sorcery,"Players play a Magic subgame under the table, starting at 5 life and using their libraries as their decks. The winner searches their library for two cards, puts those cards into their hand, then shuffles.",,,,19,,,
Question Elemental?,Unhinged,silver,{2}{U}{U},Creature — Elemental?,"Did you know this creature has flying?\nAre you aware that any time you say something that isn't a question, when a player points out this fact first, they gain control of Question Elemental",3,4,,43★,,,
Keeper of the Sacred Word,Unhinged,silver,{2}{G},Creature — Human Druid,"As Keeper of the Sacred Word enters the battlefield, choose a word.\nWhenever an opponent says the chosen word, Keeper of the Sacred Word gets +3/+3 until end of turn",2,3,,101,,0.16,0.1
Infernal Spawn of Infernal Spawn of Evil,The List (Unfinity Foil Edition),silver,{8}{B}{B},Creature — Demon Child,"Flying, first strike, trample\nOnce each turn, while you're searching your library, you may pay {1}{B}, reveal Infernal Spawn of Infernal Spawn of Evil from your library and say \""I'm coming, too!\"" If you do, Infernal Spawn of Infernal Spawn of Evil deals 2 damage to a player of your choi",8,8,,20,,,
Mox Lotus,Unhinged,silver,{15},Artifact,{T}: Add {∞}.\n{100}: Add one mana of any color,,,,124,,20.9,6.99
Better Than One,The List (Unfinity Foil Edition),silver,{G}{W},Sorcery,"A person outside the game becomes your teammate. (Choose any number of cards in your hand, on top of your library, or on the battlefield under your control. Those cards become your teammate's hand, library, and permanents, respectively.)",,,,44,crossbreedlabs,,
Stamp of Approval,Unstable,silver,{3},Artifact,"As Stamp of Approval enters the battlefield, choose a watermark.\nCreatures you control with the chosen watermark get +1/+1",,,,160,,0.07,0.06
Accessories to Murder,Unstable,borderless,"",Artifact — Contraption,"Whenever you crank Accessories to Murder, target creature gets +X/+0 until end of turn, where X is the number of creatures you control.",,,,167,agentsofsneak,0.19,0.17
Angelic Rocket,The List (Unfinity Foil Edition),silver,{8},Host Artifact Creature — Angel,"Flying\nWhen this creature enters the battlefield, you may destroy target nonland permanent",4,4,,54,,,
Double Cross,Unglued,silver,{3}{B}{B},Sorcery,"Choose another player. Look at that player's hand and choose a card other than a basic land card from it. They discard that card. At the beginning of the first upkeep in your next game with that player, look at that player's hand and choose a card other than a basic land card from it. They discard that card.",,,,31,,0.1,0.25
Everythingamajig,The List (Unfinity Foil Edition),silver,{8},Artifact,"{1}, {T}: Scry 2.\n{1}, {T}, Pay 1 life: Create a 0/1 white Goat creature token.\n{7}, {T}, Sacrifice Everythingamajig: Choose target player. At the beginning of the next end step, exchange life totals with that player, exchange control of all permanents you and that player control, and exchange cards in your hands, cards in your libraries, and cards in your graveyard",,,,56,,,
Krazy Kow,Unglued,silver,{3}{R},Creature — Cow,"At the beginning of your upkeep, roll a six-sided die. If you a roll a 1, sacrifice Krazy Kow and it deals 3 damage to each creature and each player.",3,3,,48,,0.22,0.18
Inhumaniac,Unstable,silver,{1}{B},Creature — Brainiac,"At the beginning of your upkeep, roll a six-sided die. On a 3 or 4, put a +1/+1 counter on Inhumaniac. On a 5 or higher, put two +1/+1 counters on it. On a 1, remove all +1/+1 counters from Inhumaniac.",1,1,,59,leagueofdastardlydoom,0.15,0.05
"Acornelia, Fashionable Filcher",Unsanctioned,silver,{3}{B},Legendary Creature — Squirrel,"Whenever you cast a spell with a squirrel in its art, you get {A} (an acorn counter).\nWhenever a Squirrel you control enters the battlefield or dies, you get {A}.\n{2}{B}, Pay X {A}: Target creature gets -X/-X until end of turn.\n{G}, Pay X {A}: Target creature gets +X/+X until end of tu",3,3,,31,,0.17,0.52
Spark Fiend,Unglued,silver,{4}{R},Creature — Beast,"When Spark Fiend enters the battlefield, roll two six-sided dice. If you rolled 2, 3, or 12, sacrifice Spark Fiend. If you rolled 7 or 11, don't roll dice for Spark Fiend during any of your following upkeeps. If you rolled any other total, note that total.\nAt the beginning of your upkeep, roll two six-sided dice. If you rolled 7, sacrifice Spark Fiend. If you roll the noted total, don't roll dice for Spark Fiend during any of your following upkeeps. Otherwise, do nothing",5,6,,51,,0.6,0.74
Ricochet,Unglued,silver,{R},Enchantment,"Whenever a player casts a spell that targets a single player, each player rolls a six-sided die. Change the target of that spell to the player with the lowest result. Reroll to break ties, if necessary.",,,,50,,0.36,0.5
Really Epic Punch,Unstable,silver,{1}{G},Sorcery,Target creature you control gets +2/+2 if it's a host or has augment. Then it fights target creature you don't control.,,,,118,crossbreedlabs,0.08,0.11
Necro-Impotence,Unhinged,silver,{B}{B}{B},Enchantment,"Skip your untap step.\nAt the beginning of your upkeep, you may pay X life. If you do, untap X permanents.\nPay ½ life: Exile the top card of your library face down. Put that card into your hand at the beginning of the next end ste",,,,60,,1.07,0.6
Cheatyface,Unsanctioned,silver,{U}{U}{U},Creature — Efreet,"If Cheatyface is in your hand, you may sneak Cheatyface onto the battlefield. If an opponent catches you right away, that player may exile Cheatyface.\nFlyin",2,2,,20,,0.81,0.25
Double Dip,Unglued,silver,{4}{W},Instant,"Choose another player. You gain 5 life. At the beginning of the first upkeep in your next game with that player, you gain 5 life.",,,,3,,0.15,0.27
Sly Spy,Unstable,silver,{2}{B},Creature — Human Spy,"Whenever Sly Spy deals combat damage to a player, that player reveals the top card of their library. Put that card into your hand and you lose life equal to its mana value.",2,2,,67e,agentsofsneak,0.29,0.25
Mer Man,Unsanctioned,silver,{4}{U},Host Creature — Human Fish,"When this creature enters the battlefield, you may draw a card.",3,3,,25,,0.11,0.19
Dispatch Dispensary,Unstable,borderless,"",Artifact — Contraption,"Whenever you crank Dispatch Dispensary, create a 2/2 black Rogue creature token with menace.",,,,176,agentsofsneak,0.22,0.17
Double Deal,Unglued,silver,{4}{R},Sorcery,"Choose another player. Double Deal deals 3 damage to that player. At the beginning of the first upkeep in your next game with that player, Double Deal deals 3 damage to the player.",,,,42,,0.13,0.25
Circle of Protection: Art,Unhinged,silver,{1}{W},Enchantment,"As Circle of Protection: Art enters the battlefield, choose an artist.\n{1}{W}: The next time a source of your choice with art by the chosen artist would deal damage to you this turn, prevent that damage.\n{1}{W}: Return Circle of Protection: Art to its owner's han",,,,6,,0.15,0.02
Mountain,Unsanctioned,black,"",Basic Land — Mountain,({T}: Add {R}.),,,,93,,0.66,0.09
Entirely Normal Armchair,Unstable,silver,"",Artifact,"During your turn, if Entirely Normal Armchair is in your hand, you may hide it on the battlefield.\n{0}: Return Entirely Normal Armchair to its owner's hand. Only your opponents may activate this ability and only if they see Entirely Normal Armchair.\n{2}, Sacrifice Entirely Normal Armchair: Destroy target attacking creatur",,,,146,leagueofdastardlydoom,0.19,0.05
Strutting Turkey,Unsanctioned,silver,{3}{W},Host Creature — Bird,"When this creature enters the battlefield,\nexile target creature card with mana value 2 or less from your graveyard. If it has augment, combine it with a host you control. Otherwise, put it onto the battlefield",2,2,,14,,0.12,0.1
Garbage Elemental,Unstable,silver,{4}{R},Creature — Elemental,Unleash (You may have this creature enter the battlefield with a +1/+1 counter on it. It can't block as long as it has a +1/+1 counter on it.)\nEach creature you control with any kind of counter on it has art menace. (They can't be blocked except by creatures with two or more visible figures in their art.,4,3,,82e,,0.29,0.28
Chicken à la King,Unsanctioned,silver,{1}{U}{U},Creature — Bird Noble,"Whenever a 6 is rolled on a six-sided die, put a +1/+1 counter on each Bird. (You may roll dice only when instructed to.)\nTap an untapped Bird you control: Roll a six-sided die. (Like now.",2,2,,21,,0.14,0.5
"Johnny, Combo Player",Unhinged,silver,{2}{U}{U},Legendary Creature — Human Gamer,"{4}: Search your library for a card, put that card into your hand, then shuffle.",1,1,,35,,0.88,1.5
Toy Boat,Unhinged,silver,{3},Artifact Creature — Ship,"Cumulative upkeep—Say \""Toy Boat\"" quickly. (At the beginning of your upkeep, put an age counter on Toy Boat, then sacrifice it unless you say \""Toy Boat\"" once for each age counter on it—without pausing between or fumbling ",3,3,,130,,0.26,0.25
Swamp,Unstable,borderless,"",Basic Land — Swamp,({T}: Add {B}.),,,,214,,2.27,1.75
Serpentine,Unstable,silver,"",Creature — Wurm,"Landfall — Whenever a land enters the battlefield under your control,\nAugment {2}{G} ({2}{G}, Reveal this card from your hand: Combine it with target host. Augment only as a sorcery.",+3,+3,,120,,0.16,0.25
Urza's Contact Lenses,Unglued,silver,{0},Artifact,"Urza's Contact Lenses enters the battlefield tapped.\nUrza's Contact Lenses doesn't untap during your untap step.\nAs long as Urza's Contact Lenses is untapped, all players play with their hands revealed.\nClap your hands twice: You may tap or untap Urza's Contact Lens",,,,82,,0.37,0.2
Erase (Not the Urza's Legacy One),Unhinged,silver,{2}{W},Instant,"If you control two or more white permanents that share an artist, you may cast this spell without paying its mana cost.\nExile target enchantment",,,,10,,0.14,0.1
Amateur Auteur,Unstable,silver,{1}{W},Creature — Human,Sacrifice Amateur Auteur: Destroy target enchantment.,2,2,,3a,,0.1,0.02
"Spike, Tournament Grinder",The List (Unfinity Foil Edition),silver,{2}{B/P}{B/P},Legendary Creature — Human Gamer,({B/P} can be paid with either {B} or 2 life.)\n{B/P}{B/P}{B/P}{B/P}: Reveal a card you own from outside the game that has been banned or restricted in a Constructed format and put it into your hand,1,1,,24,,,
"Half-Shark, Half-",Unstable,silver,"",Creature — Shark,"At the beginning of your upkeep,\nAugment {5}{U} ({5}{U}, Reveal this card from your hand: Combine it with target host. Augment only as a sorcery.",+3,+3,,35,,0.15,0.08
Hammerfest Boomtacular,Unstable,silver,{3}{R}{R},Enchantment,"Whenever you cast a spell with a Goblin Explosioneers watermark, Hammerfest Boomtacular deals 2 damage to any target.",,,,87,goblinexplosioneers,0.1,0.19
Crow Storm,Unstable,silver,{2}{U},Sorcery,"Create a 1/2 blue Bird creature token with flying named Storm Crow.\nStorm (When you cast this spell, copy it for each spell cast before it this turn.",,,,31,,0.2,0.1
Elvish House Party,Unhinged,silver,{4}{G}{G},Creature — Elf Rogue,"Elvish House Party's power and toughness are each equal to the current hour, using the twelve-hour system.",*,*,,94,,0.25,0.1
Spell Suck,Unstable,silver,{2}{U}{U},Instant,"Counter target spell, then assemble a Contraption. (Put the top card of your Contraption deck face up onto one of your sprockets.)",,,,45,agentsofsneak,0.07,0.04
Squirrel-Powered Scheme,Unstable,silver,{2}{B},Enchantment,Increase the result of each die you roll by 2.,,,,70,leagueofdastardlydoom,0.28,0.75
Wall of Fortune,Unstable,silver,{1}{U},Artifact Creature — Wall,Defender\nYou may tap an untapped Wall you control to have any player reroll a die that player rolled,0,4,,50,orderofthewidget,0.07,0.1
S.N.O.T.,Unhinged,silver,{G},Creature — Ooze,"You may have S.N.O.T. enter the battlefield stuck to another creature named S.N.O.T. If you do, all those creatures form a single creature.\nS.N.O.T.'s power and toughness are each equal to the square of the number of cards named S.N.O.T. stuck together to form it. (One is a 1/1, two are a 4/4, three are a 9/9, and four are a 16/16. If you manage to get -1 S.N.O.T.s stuck together, it's a 1/1.",*²,*²,,111,,0.32,0.1
X,Unstable,silver,{U}{B},Legendary Creature — Human Spy,"As long as X is in X's owner's opponent's hand, X's owner may cast X and activate X's abilities. That opponent can't cast X and plays with their hand revealed.\n{U}{B}, {T}: Put X into target opponent's hand.\n{3}{U}{B}: You may play a land or cast a spell from the hand X is in. If you cast a spell this way, you cast it without paying its mana cos",2,2,,137,agentsofsneak,0.19,0.18
Just Desserts,Unstable,silver,{1}{R},Instant,Just Desserts deals π damage to target creature. (π is the ratio of a circle's circumference to its diameter. (It's a smidgen more than 3.)),,,,90,,0.08,0.11
Buzz Buggy,Unstable,borderless,"",Artifact — Contraption,"Whenever you crank Buzz Buggy, target creature gets +2/+0 and gains trample until end of turn.",,,,173,goblinexplosioneers,0.1,0.19
Masterful Ninja,Unstable,silver,{2}{B},Creature — Troll Ninja,Haste\nReveal Masterful Ninja from your hand: Masterful Ninja is on the battlefield and in your hand until end of turn.\n{1}{B}: Masterful Ninja gets +1/+1 until end of tur,1,1,,60,agentsofsneak,0.13,0.2
Skull Saucer,Unsanctioned,silver,{4}{B}{B},Creature — Zombie Head,"Flying\nWhen Skull Saucer enters the battlefield, destroy target creature and put your head on the table. Sacrifice Skull Saucer when your head stops touching the table",4,1,,44,,0.11,0.09
Forest,Unstable,borderless,"",Basic Land — Forest,({T}: Add {G}.),,,,216,,2.59,1.5
"Johnny, Combo Player",Unsanctioned,silver,{2}{U}{U},Legendary Creature — Human Gamer,"{4}: Search your library for a card, put that card into your hand, then shuffle.",1,1,,23,,0.23,0.15
Infinity Elemental,Unsanctioned,silver,{4}{R}{R}{R},Creature — Elemental,(This creature has INFINITE POWER.),∞,5,,54,,0.22,0.2
Scissors Lizard,Unsanctioned,silver,{4},Artifact Creature — Lizard,Creatures named Paper Tiger can't attack or block.,4,3,,83,,0.34,0.15
Bosom Buddy,Unhinged,silver,{3}{W},Creature — Elephant Townsfolk,"Whenever you cast a spell, you may gain ½ life for each word in that spell's name.",1,4,,3,,0.25,0.1
Duh,Unhinged,silver,{B},Instant,Destroy target creature with reminder text. (Reminder text is any italicized text in parentheses that explains rules you already know.),,,,52,,0.2,0.12
Knight of the Kitchen Sink,Unstable,silver,{W}{W},Artifact Creature — Cyborg Knight,"First strike, protection from even collector numbers (Nothing with an even collector number can block, target, deal damage to, or attach to this creature.)",2,2,,12b,orderofthewidget,0.22,0.15
Time Out,Unsanctioned,silver,{4}{U},Instant,"Roll a six-sided die. Put target nonland permanent into its owner's library just beneath the top X cards of that library, where X is the result.",,,,28,agentsofsneak,0.13,0.29
Secret Base,Unstable,silver,"",Land,{T}: Add {C}.\n{T}: Add one mana of any color. Spend this mana only to cast a spell that shares a watermark with Secret Base,,,,165d,goblinexplosioneers,0.17,0.06
Ass Whuppin',Unhinged,silver,{1}{W}{B},Sorcery,Destroy target silver-bordered or acorn permanent in any game you can see from your seat.,,,,117,,0.81,0.2
Goblin,Unglued Tokens,silver,"",Token Creature — Goblin,"",1,1,,4,,3.23,
Extremely Slow Zombie,Unstable,silver,{1}{B},Creature — Zombie,Last strike (This creature deals combat damage after creatures without last strike.),3,3,,54c,,0.21,0.15
Staying Power,Unsanctioned,silver,{2}{W},Enchantment,"\""Until end of turn\"" and \""this turn\"" effects don't ",,,,13,,0.17,0.22
AWOL,Unhinged,silver,{2}{W},Instant,Exile target attacking creature. Then remove it from the game. Then put it into the absolutely-removed-from-the-freaking-game-forever zone.,,,,2,,0.22,0.17
World-Bottling Kit,Unhinged,silver,{5},Artifact,"{5}, Sacrifice World-Bottling Kit: Choose a Magic set. Exile all permanents with that set's expansion symbol except for basic lands.",,,,133,,0.62,0.49
Mana Screw,Unhinged,silver,{1},Artifact,"{1}: Flip a coin. If you win the flip, add {C}{C}. Activate only as an instant.",,,,123,,1.67,0.49
Sap Sucker,Unstable,borderless,"",Artifact — Contraption,"Whenever you crank Sap Sucker, add {G}. Until end of turn, you don't lose this mana as steps and phases end.",,,,203,crossbreedlabs,0.11,0.15
Krark's Other Thumb,Unstable,silver,{2},Legendary Artifact,"If you would roll a die, instead roll two of those dice and ignore one of those results.",,,,151,goblinexplosioneers,0.18,0.75
Jamming Device,Unstable,borderless,"",Artifact — Contraption,"Whenever you crank Jamming Device, creatures target player controls get -1/-1 until end of turn.",,,,192,leagueofdastardlydoom,0.19,0.07
Who // What // When // Where // Why,Unsanctioned,silver,{X}{W} // {2}{R} // {2}{U} // {3}{B} // {1}{G},Instant,,,,,75,,0.24,0.17
Ninja,Unstable,silver,"",Creature — Ninja,"You may activate Ninja's augment ability any time you could cast an instant.\nWhenever this creature deals combat damage to a player,\nAugment {2}{B} ({2}{B}, Reveal this card from your hand: Combine it with target host. Augment only as—oh, never mind",+1,+0,,61,,0.17,0.19
Serpentine,The List (Unfinity Foil Edition),silver,"",Creature — Wurm,"Landfall — Whenever a land enters the battlefield under your control,\nAugment {2}{G} ({2}{G}, Reveal this card from your hand: Combine it with target host. Augment only as a sorcery.",+3,+3,,41,,,
